,Winter,Spring,Summer,Fall,period,rcp,zone
IPSL-CM5A-MR,16.821220925994204,26.33334989730112,34.5663065544987,26.648052780482836,2070-2099,rcp85,Recharge Zone
IPSL-CM5B-LR,14.206316253912377,23.701881623055495,31.74329722371415,23.794443190984307,2070-2099,rcp85,Recharge Zone
MIROC-ESM-CHEM,15.818789976860433,26.453023609322088,33.7179250104678,25.640270978828543,2070-2099,rcp85,Recharge Zone
MIROC-ESM,14.974531854773208,25.96781249108234,33.42532464739457,25.111364796360657,2070-2099,rcp85,Recharge Zone
MIROC5,15.11222765470002,25.782663399166776,32.80450277925745,25.173752149609445,2070-2099,rcp85,Recharge Zone
MRI-CGCM3,14.058617066455863,23.36790112002882,32.18365507468067,23.19833112523974,2070-2099,rcp85,Recharge Zone
NorESM1-M,15.604951843320716,24.918156648279894,32.0523157860491,25.209197016168893,2070-2099,rcp85,Recharge Zone
bcc-csm1-1-m,9.558143028379702,18.862504504742056,26.803662901441086,18.907826745541904,1971-2000,rcp45,Contributing Zone
bcc-csm1-1,9.200459820320889,18.949151246167613,26.847287180597146,19.050862514384978,1971-2000,rcp45,Contributing Zone
BNU-ESM,9.729962312296419,19.029957969910974,26.96412373704444,18.976370645179784,1971-2000,rcp45,Contributing Zone
CanESM2,9.537024016551081,18.969215250351674,26.831350059790136,18.9462280068704,1971-2000,rcp45,Contributing Zone
CCSM4,9.731794411243197,19.133144934333504,26.93977905445322,19.009732479946823,1971-2000,rcp45,Contributing Zone
CNRM-CM5,9.425678681879782,18.81200013800394,26.893241070896337,18.951859289623005,1971-2000,rcp45,Contributing Zone
CSIRO-Mk3-6-0,9.021256760803679,18.755857268208768,26.734239893807064,18.773580344155015,1971-2000,rcp45,Contributing Zone
GFDL-ESM2G,9.46482066218435,18.877094726669895,27.10785632911234,18.896976907439466,1971-2000,rcp45,Contributing Zone
GFDL-ESM2M,9.461881666760663,18.874482718580133,26.7165006828339,18.8011089090271,1971-2000,rcp45,Contributing Zone
HadGEM2-CC365,9.194834803859754,18.90595329002946,26.653144060462655,18.73840108984963,1971-2000,rcp45,Contributing Zone
HadGEM2-ES365,9.10926764339945,18.743379787077092,26.5574634115447,18.66718335066082,1971-2000,rcp45,Contributing Zone
inmcm4,9.477260438608562,18.92049071440222,26.932943359166906,18.889952686307275,1971-2000,rcp45,Contributing Zone
IPSL-CM5A-LR,9.680826699514876,19.175335399991408,27.10159692802476,19.115891872571424,1971-2000,rcp45,Contributing Zone
IPSL-CM5A-MR,9.505142614814183,19.013903839681507,26.916557143803992,18.932502391071473,1971-2000,rcp45,Contributing Zone
IPSL-CM5B-LR,9.443536957130652,19.092120188773148,26.993053485828156,18.769650668389826,1971-2000,rcp45,Contributing Zone
MIROC-ESM-CHEM,9.417653978635899,18.70131480683223,26.858417030213484,18.97822744978386,1971-2000,rcp45,Contributing Zone
MIROC-ESM,9.607786358017915,19.008216379257068,26.711027953083576,18.737857195919425,1971-2000,rcp45,Contributing Zone
MIROC5,9.558772710046448,19.00948343955833,26.895262364466884,19.145037053605805,1971-2000,rcp45,Contributing Zone
MRI-CGCM3,9.380099528517304,19.10328022821074,26.783397581297983,18.73665452650854,1971-2000,rcp45,Contributing Zone
NorESM1-M,9.350540144804278,18.71245415459486,26.7740785388181,18.738185104519108,1971-2000,rcp45,Contributing Zone
bcc-csm1-1-m,9.425581571591593,18.898296719099903,26.830731906185182,18.892868977321456,1950-2005,rcp45,Contributing Zone
bcc-csm1-1,9.446868911305263,18.905954788415677,26.82051749383847,18.874778187095213,1950-2005,rcp45,Contributing Zone
BNU-ESM,9.420700286070055,18.918042894257997,26.831814172608514,18.877318223649468,1950-2005,rcp45,Contributing Zone
CanESM2,9.434839726368542,18.90417590386719,26.835666699477034,18.88034211035562,1950-2005,rcp45,Contributing Zone
CCSM4,9.464241245615556,18.896296598204742,26.851695270039244,18.82269195671281,1950-2005,rcp45,Contributing Zone
CNRM-CM5,9.45688534518809,18.909215639105334,26.832451722944114,18.84840794345076,1950-2005,rcp45,Contributing Zone
